Asset Name,OS,huntress,microsoft-ad,sentinelone
007-termsvr01,b'Windows Server 2012 R2 Standard 9600',huntress, ,sentinelone
008-termsvr02,b'Windows Server 2012 R2 Standard 9600',huntress, ,sentinelone
026-backupserver,b'Windows Server 2016 Standard 14393',huntress, ,sentinelone
028-matrixcare,b'Windows Server 2012 R2 Standard 9600',huntress, ,sentinelone
030-ceo-gary,b'Windows 10 Pro 19045',huntress, ,sentinelone
032-pmclaughlin,b'Windows 11 Pro 22621',huntress, ,sentinelone
033-ittech,b'Windows 11 Pro 22000',huntress, ,sentinelone
035-falconsdc2,b'Windows Server 2012 R2 Standard 9600',huntress, ,sentinelone
036-falconsdc3,b'Windows Server 2012 R2 Standard 9600',huntress, ,sentinelone
037-cfo,b'Windows 10 Pro 19045',huntress, ,sentinelone
038-reslap01,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
040-cassani,b'Windows 10 Pro 19045',huntress, ,sentinelone
042-tjcadmin,b'Windows 10 Pro 19044',huntress, ,sentinelone
044-tjc2don,b'Windows 11 Pro 22621',huntress, ,sentinelone
045-fsimpson,b'Windows 11 Pro 22621', , ,sentinelone
045-hrdirector,b'Windows 11 Pro 22621',huntress, ,sentinelone
046-hrmgr,b'Windows 11 Pro 22621',huntress, ,sentinelone
047-kitstorage,b'Windows 10 Pro 19045',huntress, ,sentinelone
051-allaptopmain,b'Windows 11 Pro 22621',huntress, ,sentinelone
053-rescnslr,b'Windows 11 Pro 22621',huntress, ,sentinelone
055-cf0down,b'Windows 10 Pro 19045',huntress, ,sentinelone
057-chiefofstaff,b'Windows 10 Pro 19045',huntress, ,sentinelone
061-teamclaptop,b'Windows 11 Pro 22621',huntress, ,sentinelone
062-fin-accmgr,b'Windows 10 Pro 19044',huntress, ,sentinelone
062-finactmgr,b'Windows 11 Pro 22621',huntress, ,sentinelone
064-fin-acpclrk,b'Windows 10 Pro 19045',huntress, ,sentinelone
065-tjcmedrecs,b'Windows 10 Pro 19045',huntress, ,sentinelone
066-jcteama,b'Windows 11 Pro 22621',huntress, ,sentinelone
067-tjcteamb,b'Windows 11 Pro 22621',huntress, ,sentinelone
068-teamcdesk,b'Windows 11 Pro 22621',huntress, ,sentinelone
069-tjcaloff,b'Windows 10 Pro 19044',huntress, ,sentinelone
070-wfcwellness,b'Windows 10 Pro 19044',huntress, ,sentinelone
071-tjcclrk01,b'Windows 10 Pro 19045',huntress, ,sentinelone
072-itdeptad,b'Windows 11 Pro',huntress, , 
075-wfclaptop02,b'Windows 10 Pro 19045',huntress, ,sentinelone
076-wfcspare2,b'Windows 10 Pro 19045',huntress, ,sentinelone
079-mclaptopmain,b'Windows 11 Pro 22621',huntress, ,sentinelone
084-telelaptop,b'Windows 10 Pro 19045',huntress, ,sentinelone
085-mhopkins,b'Windows 11 Pro 22621',huntress, ,sentinelone
086-wfcchef,b'Windows 10 Pro 19045',huntress, ,sentinelone
087-jleal-ittech,b'Windows 11 Pro 22621',huntress, ,sentinelone
088-maintmgr,b'Windows 10 Pro 19045',huntress, ,sentinelone
090-dindir,b'Windows 10 Pro 19044',huntress, ,sentinelone
091-execchef,b'Windows 11 Pro 22621',huntress, ,sentinelone
094-resvcact04,b'Windows 10 Pro 19044',huntress, ,sentinelone
095-housekpmgr,b'Windows 10 Pro 19045',huntress, ,sentinelone
096-hrassistant,b'Windows 10 Pro 19044',huntress, ,sentinelone
098-amilwee,b'Windows 10 Pro 19044',huntress, ,sentinelone
102-activities,b'Windows 10 Pro 19045',huntress, ,sentinelone
103-tjcmedrecs,b'Windows 10 Pro 19044',huntress, ,sentinelone
105-jcact2nd,b'Windows 10 Pro',huntress, , 
106-wfcalcoord,b'Windows 10 Pro 19045',huntress, ,sentinelone
107-dinsvcadmin,b'Windows 10 Pro 19044',huntress, ,sentinelone
108-dinmanager,b'Windows 10 Pro 19044',huntress, ,sentinelone
109-rehabdir,b'Windows 10 Pro 19044',huntress, ,sentinelone
110-fin-admclrk,b'Windows 10 Pro 19044',huntress, ,sentinelone
111-dietary,b'Windows 10 Pro 19044',huntress, ,sentinelone
112-tjcdietician,b'Windows 11 Pro 22621',huntress, ,sentinelone
113-jcalcoord,b'Windows 11 Pro 22621',huntress, ,sentinelone
114-tjcadmin,b'Windows 10 Pro 19044',huntress, ,sentinelone
